# xp yp zp Ez Er |E| Hp
# 4623 7
# 1 23 201 7
 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.92821400e+06  0.00000000e+00  1.92821400e+06  0.00000000e+00
 5.24325000e-04  0.00000000e+00  0.00000000e+00  1.92733000e+06  0.00000000e+00  1.92733000e+06  0.00000000e+00
 1.04865000e-03  0.00000000e+00  0.00000000e+00  1.92467200e+06  0.00000000e+00  1.92467200e+06  0.00000000e+00
 1.57298000e-03  0.00000000e+00  0.00000000e+00  1.92023400e+06  0.00000000e+00  1.92023400e+06  0.00000000e+00
 2.09730000e-03  0.00000000e+00  0.00000000e+00  1.91396500e+06  0.00000000e+00  1.91396500e+06  0.00000000e+00
 2.62162000e-03  0.00000000e+00  0.00000000e+00  1.90582700e+06  0.00000000e+00  1.90582700e+06  0.00000000e+00
 3.14595000e-03  0.00000000e+00  0.00000000e+00  1.89571800e+06  0.00000000e+00  1.89571800e+06  0.00000000e+00
 3.67027000e-03  0.00000000e+00  0.00000000e+00  1.88356600e+06  0.00000000e+00  1.88356600e+06  0.00000000e+00
 4.19460000e-03  0.00000000e+00  0.00000000e+00  1.86926500e+06  0.00000000e+00  1.86926500e+06  0.00000000e+00
 4.71892000e-03  0.00000000e+00  0.00000000e+00  1.85272800e+06  0.00000000e+00  1.85272800e+06  0.00000000e+00
 5.24325000e-03  0.00000000e+00  0.00000000e+00  1.83376300e+06  0.00000000e+00  1.83376300e+06  0.00000000e+00
 5.76757000e-03  0.00000000e+00  0.00000000e+00  1.81224800e+06  0.00000000e+00  1.81224800e+06  0.00000000e+00
 6.29190000e-03  0.00000000e+00  0.00000000e+00  1.78801700e+06  0.00000000e+00  1.78801700e+06  0.00000000e+00
 6.81623000e-03  0.00000000e+00  0.00000000e+00  1.76093700e+06  0.00000000e+00  1.76093700e+06  0.00000000e+00
 7.34055000e-03  0.00000000e+00  0.00000000e+00  1.73074400e+06  0.00000000e+00  1.73074400e+06  0.00000000e+00
 7.86487000e-03  0.00000000e+00  0.00000000e+00  1.69728200e+06  0.00000000e+00  1.69728200e+06  0.00000000e+00
 8.38920000e-03  0.00000000e+00  0.00000000e+00  1.66035700e+06  0.00000000e+00  1.66035700e+06  0.00000000e+00
 8.91352000e-03  0.00000000e+00  0.00000000e+00  1.61981500e+06  0.00000000e+00  1.61981500e+06  0.00000000e+00
 9.43785000e-03  0.00000000e+00  0.00000000e+00  1.57539000e+06  0.00000000e+00  1.57539000e+06  0.00000000e+00
 9.96217000e-03  0.00000000e+00  0.00000000e+00  1.52695500e+06  0.00000000e+00  1.52695500e+06  0.00000000e+00
 1.04865000e-02  0.00000000e+00  0.00000000e+00  1.47436700e+06  0.00000000e+00  1.47436700e+06  0.00000000e+00
 1.10108000e-02  0.00000000e+00  0.00000000e+00  1.41753400e+06  0.00000000e+00  1.41753400e+06  0.00000000e+00
 1.15352000e-02  0.00000000e+00  0.00000000e+00  1.35634800e+06  0.00000000e+00  1.35634800e+06  0.00000000e+00
 1.20595000e-02  0.00000000e+00  0.00000000e+00  1.29082800e+06  0.00000000e+00  1.29082800e+06  0.00000000e+00
 1.25838000e-02  0.00000000e+00  0.00000000e+00  1.22103100e+06  0.00000000e+00  1.22103100e+06  0.00000000e+00
 1.31081000e-02  0.00000000e+00  0.00000000e+00  1.14705500e+06  0.00000000e+00  1.14705500e+06  0.00000000e+00
 1.36325000e-02  0.00000000e+00  0.00000000e+00  1.06916900e+06  0.00000000e+00  1.06916900e+06  0.00000000e+00
 1.41568000e-02  0.00000000e+00  0.00000000e+00  9.87658500e+05  0.00000000e+00  9.87658500e+05  0.00000000e+00
 1.46811000e-02  0.00000000e+00  0.00000000e+00  9.02916500e+05  0.00000000e+00  9.02916500e+05  0.00000000e+00
 1.52054000e-02  0.00000000e+00  0.00000000e+00  8.15322000e+05  0.00000000e+00  8.15322000e+05  0.00000000e+00
 1.57298000e-02  0.00000000e+00  0.00000000e+00  7.25605500e+05  0.00000000e+00  7.25605500e+05  0.00000000e+00
 1.62541000e-02  0.00000000e+00  0.00000000e+00  6.34306300e+05  0.00000000e+00  6.34306300e+05  0.00000000e+00
 1.67784000e-02  0.00000000e+00  0.00000000e+00  5.42093300e+05  0.00000000e+00  5.42093300e+05  0.00000000e+00
 1.73027000e-02  0.00000000e+00  0.00000000e+00  4.49548500e+05  0.00000000e+00  4.49548500e+05  0.00000000e+00
 1.78271000e-02  0.00000000e+00  0.00000000e+00  3.57601900e+05  0.00000000e+00  3.57601900e+05  0.00000000e+00
 1.83514000e-02  0.00000000e+00  0.00000000e+00  2.66830700e+05  0.00000000e+00  2.66830700e+05  0.00000000e+00
 1.88757000e-02  0.00000000e+00  0.00000000e+00  1.77888400e+05  0.00000000e+00  1.77888400e+05  0.00000000e+00
 1.94000000e-02  0.00000000e+00  0.00000000e+00  9.13016500e+04  0.00000000e+00  9.13016500e+04  0.00000000e+00
 1.99244000e-02  0.00000000e+00  0.00000000e+00  7.75136500e+03  0.00000000e+00  7.75136500e+03  0.00000000e+00
 2.04487000e-02  0.00000000e+00  0.00000000e+00 -7.24018300e+04  0.00000000e+00  7.24018300e+04  0.00000000e+00
 2.09730000e-02  0.00000000e+00  0.00000000e+00 -1.48801600e+05  0.00000000e+00  1.48801600e+05  0.00000000e+00
 2.14973000e-02  0.00000000e+00  0.00000000e+00 -2.21187400e+05  0.00000000e+00  2.21187400e+05  0.00000000e+00
 2.20217000e-02  0.00000000e+00  0.00000000e+00 -2.89358500e+05  0.00000000e+00  2.89358500e+05  0.00000000e+00
 2.25460000e-02  0.00000000e+00  0.00000000e+00 -3.53242900e+05  0.00000000e+00  3.53242900e+05  0.00000000e+00
 2.30703000e-02  0.00000000e+00  0.00000000e+00 -4.12822500e+05  0.00000000e+00  4.12822500e+05  0.00000000e+00
 2.35946000e-02  0.00000000e+00  0.00000000e+00 -4.68104800e+05  0.00000000e+00  4.68104800e+05  0.00000000e+00
 2.41190000e-02  0.00000000e+00  0.00000000e+00 -5.19261700e+05  0.00000000e+00  5.19261700e+05  0.00000000e+00
 2.46433000e-02  0.00000000e+00  0.00000000e+00 -5.66408100e+05  0.00000000e+00  5.66408100e+05  0.00000000e+00
 2.51676000e-02  0.00000000e+00  0.00000000e+00 -6.09721600e+05  0.00000000e+00  6.09721600e+05  0.00000000e+00
 2.56919000e-02  0.00000000e+00  0.00000000e+00 -6.49350500e+05  0.00000000e+00  6.49350500e+05  0.00000000e+00
 2.62163000e-02  0.00000000e+00  0.00000000e+00 -6.85611400e+05  0.00000000e+00  6.85611400e+05  0.00000000e+00
 2.67406000e-02  0.00000000e+00  0.00000000e+00 -7.18676500e+05  0.00000000e+00  7.18676500e+05  0.00000000e+00
 2.72649000e-02  0.00000000e+00  0.00000000e+00 -7.48768900e+05  0.00000000e+00  7.48768900e+05  0.00000000e+00
 2.77892000e-02  0.00000000e+00  0.00000000e+00 -7.76061500e+05  0.00000000e+00  7.76061500e+05  0.00000000e+00
 2.83136000e-02  0.00000000e+00  0.00000000e+00 -8.00858200e+05  0.00000000e+00  8.00858200e+05  0.00000000e+00
 2.88379000e-02  0.00000000e+00  0.00000000e+00 -8.23313200e+05  0.00000000e+00  8.23313200e+05  0.00000000e+00
 2.93622000e-02  0.00000000e+00  0.00000000e+00 -8.43616200e+05  0.00000000e+00  8.43616200e+05  0.00000000e+00
 2.98865000e-02  0.00000000e+00  0.00000000e+00 -8.61909500e+05  0.00000000e+00  8.61909500e+05  0.00000000e+00
 3.04109000e-02  0.00000000e+00  0.00000000e+00 -8.78425000e+05  0.00000000e+00  8.78425000e+05  0.00000000e+00
 3.09352000e-02  0.00000000e+00  0.00000000e+00 -8.93275600e+05  0.00000000e+00  8.93275600e+05  0.00000000e+00
 3.14595000e-02  0.00000000e+00  0.00000000e+00 -9.06596700e+05  0.00000000e+00  9.06596700e+05  0.00000000e+00
 3.19838000e-02  0.00000000e+00  0.00000000e+00 -9.18488300e+05  0.00000000e+00  9.18488300e+05  0.00000000e+00
 3.25082000e-02  0.00000000e+00  0.00000000e+00 -9.29106200e+05  0.00000000e+00  9.29106200e+05  0.00000000e+00
 3.30325000e-02  0.00000000e+00  0.00000000e+00 -9.38523700e+05  0.00000000e+00  9.38523700e+05  0.00000000e+00
