Los Alamos National Laboratory Poisson Superfish
Program SF7 written by James H. Billen and Lloyd M. Young

The original Poisson Superfish codes were developed
by Ron F. Holsinger in collaboration with Klaus Halbach.
These programs are provided as a service to the accelerator
community by the Los Alamos Accelerator Code Group (LAACG).

(c) Copyright 1985-2005, by the Regents of the University of California.        
This software was produced under U. S. Government contract W-7405-ENG-36        
by Los Alamos National Laboratory, which is operated by the University          
of California for the U. S. Department of Energy.  Neither the Government       
nor the University makes any warranty, express or implied, or assumes           
any liability or responsibility for its use, or represents that use of          
this software would not infringe privately owned rights.                        
Unpublished - rights reserved under Copyright Laws of the United States.        


Program SF7  7.17  released 1-13-2006 

Program file: C:\LANL\SF7.EXE
SF.INI file: C:\LANL\SF.INI  2-11-2021   4:14:24
Solution file C:\LANL\LINAC\DLC_OPENED_REGULAR\DISKLOADED.T35.
Memory used for DISKLOADED.T35 arrays:       2.955 M
Reading keyword commands and data from file:
C:\LANL\LINAC\DLC_OPENED_REGULAR\DISKLOADED.IN7

Electromagnetic fields for a rectangular area with corners at:
(Zmin,Rmin) = (0.0,0.0)
(Zmax,Rmax) = (104.865,11)
Z and R increments:   200    22

      Z             R              Ez            Er            |E|           H 
    (mm)          (mm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
   0.00000       0.00000      1.928214E+00  0.000000E+00  1.928214E+00  0.000000E+00
  0.524325       0.00000      1.927330E+00  0.000000E+00  1.927330E+00  0.000000E+00
   1.04865       0.00000      1.924672E+00  0.000000E+00  1.924672E+00  0.000000E+00
   1.57298       0.00000      1.920234E+00  0.000000E+00  1.920234E+00  0.000000E+00
   2.09730       0.00000      1.913965E+00  0.000000E+00  1.913965E+00  0.000000E+00
   2.62162       0.00000      1.905827E+00  0.000000E+00  1.905827E+00  0.000000E+00
   3.14595       0.00000      1.895718E+00  0.000000E+00  1.895718E+00  0.000000E+00
   3.67027       0.00000      1.883566E+00  0.000000E+00  1.883566E+00  0.000000E+00
   4.19460       0.00000      1.869265E+00  0.000000E+00  1.869265E+00  0.000000E+00
   4.71892       0.00000      1.852728E+00  0.000000E+00  1.852728E+00  0.000000E+00
   5.24325       0.00000      1.833763E+00  0.000000E+00  1.833763E+00  0.000000E+00
   5.76757       0.00000      1.812248E+00  0.000000E+00  1.812248E+00  0.000000E+00
   6.29190       0.00000      1.788017E+00  0.000000E+00  1.788017E+00  0.000000E+00
